animal_names,feature_1,feature_2
antelope,0.310064778028424,0.0782576669440605
beaver,-0.409455665527338,0.0407026095789831
camel,0.359958623912753,0.0259366642007625
cat,-0.37979950358999,0.107507552156621
chimpanzee,-0.133814800132067,-0.449284590597621
 chipmunk,-0.513371873757182,-0.0789969294187703
cow,0.22044840240285,0.296281451938632
deer,0.249454625670921,0.181497307476981
dog,-0.237197911123981,0.262688532663903
elephant,0.335676808226625,-0.191012131464807
giraffe,0.321116610415669,-0.147519511164581
goat,0.0591329119910598,0.333729516860231
gorilla,0.0139312807535699,-0.5168709663097
horse,0.292226247341867,0.234392420430802
lion,0.165453588050522,-0.185194222844026
monkey,-0.212079407165905,-0.42297161165748
rabbit,-0.47717750155434,0.181785645018923
rat,-0.493357819358199,0.10127164942066
sheep,0.0303265706464033,0.333972418816781
tiger,0.147864075312034,-0.188364698976281
zebra,0.350599959456303,0.00219122692592651
